task2-tag, 1KB, 16, ring, 0, 0.182
task2-tag, 1KB, 16, ring, 1, 0.149
task2-tag, 1KB, 16, ring, 2, 0.136
task2-tag, 1KB, 16, ring, 3, 0.127
task2-tag, 1KB, 16, ring, 4, 0.116
task2-tag, 1KB, 16, ring, 5, 0.115
task2-tag, 1KB, 16, ring, 6, 0.107
task2-tag, 1KB, 16, ring, 7, 0.095
task2-tag, 1KB, 16, ring, 8, 0.085
task2-tag, 1KB, 16, ring, 9, 0.082
task2-tag, 1KB, 16, ring, 10, 0.071
task2-tag, 1KB, 16, ring, 11, 0.065
task2-tag, 1KB, 16, ring, 12, 0.055
task2-tag, 1KB, 16, ring, 13, 0.050
task2-tag, 1KB, 16, ring, 14, 0.044
task2-tag, 1KB, 16, ring, 15, 0.044
task2-tag, 1KB, 16, recur_hd, 0, 0.149
task2-tag, 1KB, 16, recur_hd, 1, 0.114
task2-tag, 1KB, 16, recur_hd, 2, 0.110
task2-tag, 1KB, 16, recur_hd, 3, 0.106
task2-tag, 1KB, 16, recur_hd, 4, 0.095
task2-tag, 1KB, 16, recur_hd, 5, 0.088
task2-tag, 1KB, 16, recur_hd, 6, 0.078
task2-tag, 1KB, 16, recur_hd, 7, 0.068
task2-tag, 1KB, 16, recur_hd, 8, 0.058
task2-tag, 1KB, 16, recur_hd, 9, 0.057
task2-tag, 1KB, 16, recur_hd, 10, 0.045
task2-tag, 1KB, 16, recur_hd, 11, 0.040
task2-tag, 1KB, 16, recur_hd, 12, 0.030
task2-tag, 1KB, 16, recur_hd, 13, 0.021
task2-tag, 1KB, 16, recur_hd, 14, 0.017
task2-tag, 1KB, 16, recur_hd, 15, 0.017
task2-tag, 10KB, 16, ring, 0, 0.184
task2-tag, 10KB, 16, ring, 1, 0.161
task2-tag, 10KB, 16, ring, 2, 0.143
task2-tag, 10KB, 16, ring, 3, 0.140
task2-tag, 10KB, 16, ring, 4, 0.122
task2-tag, 10KB, 16, ring, 5, 0.120
task2-tag, 10KB, 16, ring, 6, 0.113
task2-tag, 10KB, 16, ring, 7, 0.103
task2-tag, 10KB, 16, ring, 8, 0.096
task2-tag, 10KB, 16, ring, 9, 0.086
task2-tag, 10KB, 16, ring, 10, 0.075
task2-tag, 10KB, 16, ring, 11, 0.064
task2-tag, 10KB, 16, ring, 12, 0.062
task2-tag, 10KB, 16, ring, 13, 0.051
task2-tag, 10KB, 16, ring, 14, 0.043
task2-tag, 10KB, 16, ring, 15, 0.045
task2-tag, 10KB, 16, recur_hd, 0, 0.150
task2-tag, 10KB, 16, recur_hd, 1, 0.116
task2-tag, 10KB, 16, recur_hd, 2, 0.108
task2-tag, 10KB, 16, recur_hd, 3, 0.100
task2-tag, 10KB, 16, recur_hd, 4, 0.095
task2-tag, 10KB, 16, recur_hd, 5, 0.087
task2-tag, 10KB, 16, recur_hd, 6, 0.083
task2-tag, 10KB, 16, recur_hd, 7, 0.072
task2-tag, 10KB, 16, recur_hd, 8, 0.066
task2-tag, 10KB, 16, recur_hd, 9, 0.057
task2-tag, 10KB, 16, recur_hd, 10, 0.050
task2-tag, 10KB, 16, recur_hd, 11, 0.040
task2-tag, 10KB, 16, recur_hd, 12, 0.030
task2-tag, 10KB, 16, recur_hd, 13, 0.027
task2-tag, 10KB, 16, recur_hd, 14, 0.017
task2-tag, 10KB, 16, recur_hd, 15, 0.017
task2-tag, 100KB, 16, ring, 0, 0.190
task2-tag, 100KB, 16, ring, 1, 0.155
task2-tag, 100KB, 16, ring, 2, 0.152
task2-tag, 100KB, 16, ring, 3, 0.143
task2-tag, 100KB, 16, ring, 4, 0.138
task2-tag, 100KB, 16, ring, 5, 0.130
task2-tag, 100KB, 16, ring, 6, 0.117
task2-tag, 100KB, 16, ring, 7, 0.104
task2-tag, 100KB, 16, ring, 8, 0.101
task2-tag, 100KB, 16, ring, 9, 0.096
task2-tag, 100KB, 16, ring, 10, 0.086
task2-tag, 100KB, 16, ring, 11, 0.076
task2-tag, 100KB, 16, ring, 12, 0.067
task2-tag, 100KB, 16, ring, 13, 0.058
task2-tag, 100KB, 16, ring, 14, 0.049
task2-tag, 100KB, 16, ring, 15, 0.050
task2-tag, 100KB, 16, recur_hd, 0, 0.159
task2-tag, 100KB, 16, recur_hd, 1, 0.131
task2-tag, 100KB, 16, recur_hd, 2, 0.124
task2-tag, 100KB, 16, recur_hd, 3, 0.117
task2-tag, 100KB, 16, recur_hd, 4, 0.109
task2-tag, 100KB, 16, recur_hd, 5, 0.101
task2-tag, 100KB, 16, recur_hd, 6, 0.089
task2-tag, 100KB, 16, recur_hd, 7, 0.086
task2-tag, 100KB, 16, recur_hd, 8, 0.075
task2-tag, 100KB, 16, recur_hd, 9, 0.062
task2-tag, 100KB, 16, recur_hd, 10, 0.051
task2-tag, 100KB, 16, recur_hd, 11, 0.040
task2-tag, 100KB, 16, recur_hd, 12, 0.042
task2-tag, 100KB, 16, recur_hd, 13, 0.032
task2-tag, 100KB, 16, recur_hd, 14, 0.025
task2-tag, 100KB, 16, recur_hd, 15, 0.024
task2-tag, 1MB, 16, ring, 0, 0.210
task2-tag, 1MB, 16, ring, 1, 0.177
task2-tag, 1MB, 16, ring, 2, 0.164
task2-tag, 1MB, 16, ring, 3, 0.161
task2-tag, 1MB, 16, ring, 4, 0.152
task2-tag, 1MB, 16, ring, 5, 0.146
task2-tag, 1MB, 16, ring, 6, 0.132
task2-tag, 1MB, 16, ring, 7, 0.116
task2-tag, 1MB, 16, ring, 8, 0.113
task2-tag, 1MB, 16, ring, 9, 0.112
task2-tag, 1MB, 16, ring, 10, 0.101
task2-tag, 1MB, 16, ring, 11, 0.092
task2-tag, 1MB, 16, ring, 12, 0.080
task2-tag, 1MB, 16, ring, 13, 0.081
task2-tag, 1MB, 16, ring, 14, 0.078
task2-tag, 1MB, 16, ring, 15, 0.081
task2-tag, 1MB, 16, recur_hd, 0, 0.245
task2-tag, 1MB, 16, recur_hd, 1, 0.224
task2-tag, 1MB, 16, recur_hd, 2, 0.218
task2-tag, 1MB, 16, recur_hd, 3, 0.214
task2-tag, 1MB, 16, recur_hd, 4, 0.191
task2-tag, 1MB, 16, recur_hd, 5, 0.181
task2-tag, 1MB, 16, recur_hd, 6, 0.183
task2-tag, 1MB, 16, recur_hd, 7, 0.290
task2-tag, 1MB, 16, recur_hd, 8, 0.174
task2-tag, 1MB, 16, recur_hd, 9, 0.164
task2-tag, 1MB, 16, recur_hd, 10, 0.153
task2-tag, 1MB, 16, recur_hd, 11, 0.145
task2-tag, 1MB, 16, recur_hd, 12, 0.124
task2-tag, 1MB, 16, recur_hd, 13, 0.105
task2-tag, 1MB, 16, recur_hd, 14, 0.100
task2-tag, 1MB, 16, recur_hd, 15, 0.211
task2-tag, 10MB, 16, ring, 0, 0.472
task2-tag, 10MB, 16, ring, 1, 0.429
task2-tag, 10MB, 16, ring, 2, 0.400
task2-tag, 10MB, 16, ring, 3, 0.418
task2-tag, 10MB, 16, ring, 4, 0.413
task2-tag, 10MB, 16, ring, 5, 0.421
task2-tag, 10MB, 16, ring, 6, 0.411
task2-tag, 10MB, 16, ring, 7, 0.419
task2-tag, 10MB, 16, ring, 8, 0.412
task2-tag, 10MB, 16, ring, 9, 0.388
task2-tag, 10MB, 16, ring, 10, 0.383
task2-tag, 10MB, 16, ring, 11, 0.374
task2-tag, 10MB, 16, ring, 12, 0.375
task2-tag, 10MB, 16, ring, 13, 0.373
task2-tag, 10MB, 16, ring, 14, 0.351
task2-tag, 10MB, 16, ring, 15, 0.342
task2-tag, 10MB, 16, recur_hd, 0, 1.199
task2-tag, 10MB, 16, recur_hd, 1, 1.140
task2-tag, 10MB, 16, recur_hd, 2, 1.035
task2-tag, 10MB, 16, recur_hd, 3, 1.163
task2-tag, 10MB, 16, recur_hd, 4, 1.222
task2-tag, 10MB, 16, recur_hd, 5, 1.180
task2-tag, 10MB, 16, recur_hd, 6, 1.135
task2-tag, 10MB, 16, recur_hd, 7, 1.139
task2-tag, 10MB, 16, recur_hd, 8, 1.149
task2-tag, 10MB, 16, recur_hd, 9, 1.102
task2-tag, 10MB, 16, recur_hd, 10, 0.984
task2-tag, 10MB, 16, recur_hd, 11, 1.104
task2-tag, 10MB, 16, recur_hd, 12, 1.163
task2-tag, 10MB, 16, recur_hd, 13, 1.146
task2-tag, 10MB, 16, recur_hd, 14, 1.117
task2-tag, 10MB, 16, recur_hd, 15, 1.119
task2-tag, 100MB, 16, ring, 0, 2.462
task2-tag, 100MB, 16, ring, 1, 2.376
task2-tag, 100MB, 16, ring, 2, 2.295
task2-tag, 100MB, 16, ring, 3, 2.351
task2-tag, 100MB, 16, ring, 4, 2.341
task2-tag, 100MB, 16, ring, 5, 2.417
task2-tag, 100MB, 16, ring, 6, 2.463
task2-tag, 100MB, 16, ring, 7, 2.506
task2-tag, 100MB, 16, ring, 8, 2.525
task2-tag, 100MB, 16, ring, 9, 2.476
task2-tag, 100MB, 16, ring, 10, 2.422
task2-tag, 100MB, 16, ring, 11, 2.355
task2-tag, 100MB, 16, ring, 12, 2.336
task2-tag, 100MB, 16, ring, 13, 2.297
task2-tag, 100MB, 16, ring, 14, 2.261
task2-tag, 100MB, 16, ring, 15, 2.296
task2-tag, 100MB, 16, recur_hd, 0, 10.336
task2-tag, 100MB, 16, recur_hd, 1, 9.393
task2-tag, 100MB, 16, recur_hd, 2, 10.281
task2-tag, 100MB, 16, recur_hd, 3, 9.650
task2-tag, 100MB, 16, recur_hd, 4, 10.150
task2-tag, 100MB, 16, recur_hd, 5, 9.389
task2-tag, 100MB, 16, recur_hd, 6, 10.338
task2-tag, 100MB, 16, recur_hd, 7, 10.314
task2-tag, 100MB, 16, recur_hd, 8, 10.279
task2-tag, 100MB, 16, recur_hd, 9, 9.308
task2-tag, 100MB, 16, recur_hd, 10, 10.293
task2-tag, 100MB, 16, recur_hd, 11, 9.674
task2-tag, 100MB, 16, recur_hd, 12, 10.136
task2-tag, 100MB, 16, recur_hd, 13, 9.306
task2-tag, 100MB, 16, recur_hd, 14, 10.294
task2-tag, 100MB, 16, recur_hd, 15, 10.291
