task3-tag, 10MB, 2, ring, 0, 0.073
task3-tag, 10MB, 2, ring, 1, 0.074
task3-tag, 10MB, 2, recur_hd, 0, 0.075
task3-tag, 10MB, 2, recur_hd, 1, 0.078
task3-tag, 10MB, 4, ring, 0, 0.116
task3-tag, 10MB, 4, ring, 1, 0.100
task3-tag, 10MB, 4, ring, 2, 0.095
task3-tag, 10MB, 4, ring, 3, 0.095
task3-tag, 10MB, 4, recur_hd, 0, 0.200
task3-tag, 10MB, 4, recur_hd, 1, 0.188
task3-tag, 10MB, 4, recur_hd, 2, 0.181
task3-tag, 10MB, 4, recur_hd, 3, 0.169
task3-tag, 10MB, 8, ring, 0, 0.329
task3-tag, 10MB, 8, ring, 1, 0.323
task3-tag, 10MB, 8, ring, 2, 0.308
task3-tag, 10MB, 8, ring, 3, 0.265
task3-tag, 10MB, 8, ring, 4, 0.271
task3-tag, 10MB, 8, ring, 5, 0.262
task3-tag, 10MB, 8, ring, 6, 0.274
task3-tag, 10MB, 8, ring, 7, 0.286
task3-tag, 10MB, 8, recur_hd, 0, 0.816
task3-tag, 10MB, 8, recur_hd, 1, 0.775
task3-tag, 10MB, 8, recur_hd, 2, 0.753
task3-tag, 10MB, 8, recur_hd, 3, 0.775
task3-tag, 10MB, 8, recur_hd, 4, 0.814
task3-tag, 10MB, 8, recur_hd, 5, 0.811
task3-tag, 10MB, 8, recur_hd, 6, 0.780
task3-tag, 10MB, 8, recur_hd, 7, 0.789
task3-tag, 10MB, 16, ring, 0, 0.498
task3-tag, 10MB, 16, ring, 1, 0.454
task3-tag, 10MB, 16, ring, 2, 0.432
task3-tag, 10MB, 16, ring, 3, 0.426
task3-tag, 10MB, 16, ring, 4, 0.425
task3-tag, 10MB, 16, ring, 5, 0.403
task3-tag, 10MB, 16, ring, 6, 0.397
task3-tag, 10MB, 16, ring, 7, 0.403
task3-tag, 10MB, 16, ring, 8, 0.397
task3-tag, 10MB, 16, ring, 9, 0.373
task3-tag, 10MB, 16, ring, 10, 0.361
task3-tag, 10MB, 16, ring, 11, 0.346
task3-tag, 10MB, 16, ring, 12, 0.358
task3-tag, 10MB, 16, ring, 13, 0.345
task3-tag, 10MB, 16, ring, 14, 0.347
task3-tag, 10MB, 16, ring, 15, 0.338
task3-tag, 10MB, 16, recur_hd, 0, 1.066
task3-tag, 10MB, 16, recur_hd, 1, 1.087
task3-tag, 10MB, 16, recur_hd, 2, 1.092
task3-tag, 10MB, 16, recur_hd, 3, 1.113
task3-tag, 10MB, 16, recur_hd, 4, 0.953
task3-tag, 10MB, 16, recur_hd, 5, 0.943
task3-tag, 10MB, 16, recur_hd, 6, 1.026
task3-tag, 10MB, 16, recur_hd, 7, 1.032
task3-tag, 10MB, 16, recur_hd, 8, 1.027
task3-tag, 10MB, 16, recur_hd, 9, 1.080
task3-tag, 10MB, 16, recur_hd, 10, 1.062
task3-tag, 10MB, 16, recur_hd, 11, 1.070
task3-tag, 10MB, 16, recur_hd, 12, 0.867
task3-tag, 10MB, 16, recur_hd, 13, 0.896
task3-tag, 10MB, 16, recur_hd, 14, 0.924
task3-tag, 10MB, 16, recur_hd, 15, 0.926
